Stationsmessort:	Dolomitenhütte
Stationsname:	Beobachter Dolomitenhütte (seit 1995)
Stationsnummer:	4307090353
Lokale Koordinaten X:	---
Lokale Koordinaten Y:	---
MPH:	1616
Parametername:	HS
Parametertyp:	SH
Name des Parametertyps:	Schneehöhe
Name der Zeitreihe:	2068/4307090353/HS/Cmd
Einheit der Zeitreihe:	cm
Regionale Koordinaten X:	337150,573997
Regionale Koordinaten Y:	186376,889967
Geografische Länge:	12,7842
Geografische Breite:	46,7903
Datum;Uhrzeit;Wert[cm];Status des Werts
13.12.1995;07:00:00;5;200
14.12.1995;07:00:00;38;200
15.12.1995;07:00:00;55;200
16.12.1995;07:00:00;44;200
17.12.1995;07:00:00;40;200
18.12.1995;07:00:00;30;200
19.12.1995;07:00:00;32;200
20.12.1995;07:00:00;30;200
21.12.1995;07:00:00;30;200
22.12.1995;07:00:00;29;200
23.12.1995;07:00:00;27;200
24.12.1995;07:00:00;25;200
25.12.1995;07:00:00;23;200
26.12.1995;07:00:00;23;200
27.12.1995;07:00:00;40;200
28.12.1995;07:00:00;50;200
29.12.1995;07:00:00;45;200
30.12.1995;07:00:00;45;200
31.12.1995;07:00:00;42;200
01.01.1996;07:00:00;46;200
02.01.1996;07:00:00;45;200
03.01.1996;07:00:00;40;200
04.01.1996;07:00:00;38;200
05.01.1996;07:00:00;37;200
06.01.1996;07:00:00;35;200
07.01.1996;07:00:00;43;200
08.01.1996;07:00:00;45;200
09.01.1996;07:00:00;45;200
10.01.1996;07:00:00;43;200
11.01.1996;07:00:00;40;200
12.01.1996;07:00:00;35;200
13.01.1996;07:00:00;33;200
14.01.1996;07:00:00;---;255
15.01.1996;07:00:00;---;255
16.01.1996;07:00:00;---;255
17.01.1996;07:00:00;---;255
18.01.1996;07:00:00;27;200
19.01.1996;07:00:00;27;200
20.01.1996;07:00:00;26;200
21.01.1996;07:00:00;26;200
22.01.1996;07:00:00;26;200
23.01.1996;07:00:00;47;200
24.01.1996;07:00:00;53;200
25.01.1996;07:00:00;56;200
26.01.1996;07:00:00;55;200
27.01.1996;07:00:00;53;200
28.01.1996;07:00:00;54;200
29.01.1996;07:00:00;53;200
30.01.1996;07:00:00;53;200
31.01.1996;07:00:00;53;200
01.02.1996;07:00:00;53;200
02.02.1996;07:00:00;52;200
03.02.1996;07:00:00;50;200
04.02.1996;07:00:00;55;200
05.02.1996;07:00:00;69;200
06.02.1996;07:00:00;65;200
07.02.1996;07:00:00;65;200
08.02.1996;07:00:00;65;200
09.02.1996;07:00:00;60;200
10.02.1996;07:00:00;60;200
11.02.1996;07:00:00;59;200
12.02.1996;07:00:00;58;200
13.02.1996;07:00:00;58;200
14.02.1996;07:00:00;58;200
15.02.1996;07:00:00;57;200
16.02.1996;07:00:00;56;200
17.02.1996;07:00:00;55;200
18.02.1996;07:00:00;52;200
19.02.1996;07:00:00;55;200
20.02.1996;07:00:00;70;200
21.02.1996;07:00:00;65;200
22.02.1996;07:00:00;65;200
23.02.1996;07:00:00;63;200
24.02.1996;07:00:00;63;200
25.02.1996;07:00:00;60;200
26.02.1996;07:00:00;60;200
27.02.1996;07:00:00;60;200
28.02.1996;07:00:00;58;200
29.02.1996;07:00:00;58;200
01.03.1996;07:00:00;57;200
02.03.1996;07:00:00;57;200
03.03.1996;07:00:00;55;200
04.03.1996;07:00:00;55;200
05.03.1996;07:00:00;55;200
06.03.1996;07:00:00;55;200
07.03.1996;07:00:00;54;200
08.03.1996;07:00:00;56;200
09.03.1996;07:00:00;56;200
10.03.1996;07:00:00;57;200
11.03.1996;07:00:00;55;200
12.03.1996;07:00:00;55;200
13.03.1996;07:00:00;58;200
14.03.1996;07:00:00;56;200
15.03.1996;07:00:00;55;200
16.03.1996;07:00:00;50;200
17.03.1996;07:00:00;50;200
18.03.1996;07:00:00;53;200
19.03.1996;07:00:00;50;200
20.03.1996;07:00:00;50;200
21.03.1996;07:00:00;47;200
22.03.1996;07:00:00;45;200
23.03.1996;07:00:00;50;200
24.03.1996;07:00:00;47;200
25.03.1996;07:00:00;45;200
26.03.1996;07:00:00;40;200
27.03.1996;07:00:00;35;200
28.03.1996;07:00:00;30;200
29.03.1996;07:00:00;30;200
30.03.1996;07:00:00;30;200
31.03.1996;07:00:00;30;200
01.04.1996;07:00:00;33;200
02.04.1996;07:00:00;48;200
03.04.1996;07:00:00;43;200
04.04.1996;07:00:00;45;200
05.04.1996;07:00:00;45;200
06.04.1996;07:00:00;36;200
07.04.1996;07:00:00;30;200
08.04.1996;07:00:00;27;200
09.04.1996;07:00:00;25;200
10.04.1996;07:00:00;---;255
11.04.1996;07:00:00;---;255
12.04.1996;07:00:00;---;255
13.04.1996;07:00:00;---;255
14.04.1996;07:00:00;---;255
15.04.1996;07:00:00;---;255
16.04.1996;07:00:00;---;255
17.04.1996;07:00:00;---;255
18.04.1996;07:00:00;---;255
19.04.1996;07:00:00;---;255
20.04.1996;07:00:00;---;255
21.04.1996;07:00:00;---;255
22.04.1996;07:00:00;---;255
23.04.1996;07:00:00;---;255
24.04.1996;07:00:00;---;255
25.04.1996;07:00:00;---;255
26.04.1996;07:00:00;---;255
27.04.1996;07:00:00;---;255
28.04.1996;07:00:00;---;255
29.04.1996;07:00:00;---;255
30.04.1996;07:00:00;---;255
01.05.1996;07:00:00;---;255
02.05.1996;07:00:00;---;255
03.05.1996;07:00:00;---;255
04.05.1996;07:00:00;---;255
05.05.1996;07:00:00;---;255
06.05.1996;07:00:00;---;255
07.05.1996;07:00:00;---;255
08.05.1996;07:00:00;---;255
09.05.1996;07:00:00;---;255
10.05.1996;07:00:00;---;255
11.05.1996;07:00:00;---;255
12.05.1996;07:00:00;---;255
13.05.1996;07:00:00;---;255
14.05.1996;07:00:00;---;255
15.05.1996;07:00:00;---;255
16.05.1996;07:00:00;---;255
17.05.1996;07:00:00;---;255
18.05.1996;07:00:00;---;255
19.05.1996;07:00:00;---;255
20.05.1996;07:00:00;---;255
21.05.1996;07:00:00;---;255
22.05.1996;07:00:00;---;255
23.05.1996;07:00:00;---;255
24.05.1996;07:00:00;---;255
25.05.1996;07:00:00;---;255
26.05.1996;07:00:00;---;255
27.05.1996;07:00:00;---;255
28.05.1996;07:00:00;---;255
29.05.1996;07:00:00;---;255
30.05.1996;07:00:00;---;255
31.05.1996;07:00:00;---;255
01.06.1996;07:00:00;---;255
02.06.1996;07:00:00;---;255
03.06.1996;07:00:00;---;255
04.06.1996;07:00:00;---;255
05.06.1996;07:00:00;---;255
06.06.1996;07:00:00;---;255
