Stationsmessort:	Boden
Stationsname:	Beobachter Boden Lechtal (seit 1960)
Stationsnummer:	4307010351
Lokale Koordinaten X:	---
Lokale Koordinaten Y:	---
MPH:	1356
Parametername:	HS
Parametertyp:	SH
Name des Parametertyps:	Schneehöhe
Name der Zeitreihe:	20173/4307010351/HS/Cmd
Einheit der Zeitreihe:	cm
Regionale Koordinaten X:	170575,900258
Regionale Koordinaten Y:	238430,951147
Geografische Länge:	10,605
Geografische Breite:	47,2844
Datum;Uhrzeit;Wert[cm];Status des Werts
01.01.1992;07:00:00;79;200
02.01.1992;07:00:00;76;200
03.01.1992;07:00:00;75;200
04.01.1992;07:00:00;74;200
05.01.1992;07:00:00;74;200
06.01.1992;07:00:00;72;200
07.01.1992;07:00:00;71;200
08.01.1992;07:00:00;71;200
09.01.1992;07:00:00;70;200
10.01.1992;07:00:00;65;200
11.01.1992;07:00:00;65;200
12.01.1992;07:00:00;65;200
13.01.1992;07:00:00;64;200
14.01.1992;07:00:00;64;200
15.01.1992;07:00:00;64;200
16.01.1992;07:00:00;63;200
17.01.1992;07:00:00;63;200
18.01.1992;07:00:00;63;200
19.01.1992;07:00:00;63;200
20.01.1992;07:00:00;69;200
21.01.1992;07:00:00;70;200
22.01.1992;07:00:00;68;200
23.01.1992;07:00:00;67;200
24.01.1992;07:00:00;67;200
25.01.1992;07:00:00;67;200
26.01.1992;07:00:00;67;200
27.01.1992;07:00:00;67;200
28.01.1992;07:00:00;67;200
29.01.1992;07:00:00;67;200
30.01.1992;07:00:00;67;200
31.01.1992;07:00:00;66;200
01.02.1992;07:00:00;66;200
02.02.1992;07:00:00;66;200
03.02.1992;07:00:00;65;200
04.02.1992;07:00:00;81;200
05.02.1992;07:00:00;115;200
06.02.1992;07:00:00;127;200
07.02.1992;07:00:00;115;200
08.02.1992;07:00:00;110;200
09.02.1992;07:00:00;105;200
10.02.1992;07:00:00;104;200
11.02.1992;07:00:00;104;200
12.02.1992;07:00:00;100;200
13.02.1992;07:00:00;95;200
14.02.1992;07:00:00;97;200
15.02.1992;07:00:00;95;200
16.02.1992;07:00:00;92;200
17.02.1992;07:00:00;101;200
18.02.1992;07:00:00;111;200
19.02.1992;07:00:00;105;200
20.02.1992;07:00:00;104;200
21.02.1992;07:00:00;103;200
22.02.1992;07:00:00;104;200
23.02.1992;07:00:00;102;200
24.02.1992;07:00:00;100;200
25.02.1992;07:00:00;97;200
26.02.1992;07:00:00;94;200
27.02.1992;07:00:00;91;200
28.02.1992;07:00:00;90;200
29.02.1992;07:00:00;89;200
01.03.1992;07:00:00;89;200
02.03.1992;07:00:00;88;200
03.03.1992;07:00:00;98;200
04.03.1992;07:00:00;93;200
05.03.1992;07:00:00;89;200
06.03.1992;07:00:00;86;200
07.03.1992;07:00:00;84;200
08.03.1992;07:00:00;83;200
09.03.1992;07:00:00;82;200
10.03.1992;07:00:00;82;200
11.03.1992;07:00:00;80;200
12.03.1992;07:00:00;82;200
13.03.1992;07:00:00;80;200
14.03.1992;07:00:00;70;200
15.03.1992;07:00:00;90;200
16.03.1992;07:00:00;125;200
17.03.1992;07:00:00;110;200
18.03.1992;07:00:00;100;200
19.03.1992;07:00:00;95;200
20.03.1992;07:00:00;97;200
21.03.1992;07:00:00;92;200
22.03.1992;07:00:00;92;200
23.03.1992;07:00:00;97;200
24.03.1992;07:00:00;110;200
25.03.1992;07:00:00;103;200
26.03.1992;07:00:00;102;200
27.03.1992;07:00:00;102;200
28.03.1992;07:00:00;101;200
29.03.1992;07:00:00;115;200
30.03.1992;07:00:00;107;200
31.03.1992;07:00:00;102;200
01.04.1992;07:00:00;95;200
02.04.1992;07:00:00;106;200
03.04.1992;07:00:00;98;200
04.04.1992;07:00:00;93;200
05.04.1992;07:00:00;90;200
06.04.1992;07:00:00;96;200
07.04.1992;07:00:00;93;200
08.04.1992;07:00:00;89;200
09.04.1992;07:00:00;83;200
10.04.1992;07:00:00;80;200
11.04.1992;07:00:00;78;200
12.04.1992;07:00:00;77;200
13.04.1992;07:00:00;71;200
14.04.1992;07:00:00;70;200
15.04.1992;07:00:00;66;200
16.04.1992;07:00:00;75;200
17.04.1992;07:00:00;75;200
18.04.1992;07:00:00;76;200
19.04.1992;07:00:00;74;200
20.04.1992;07:00:00;68;200
21.04.1992;07:00:00;67;200
22.04.1992;07:00:00;63;200
23.04.1992;07:00:00;60;200
24.04.1992;07:00:00;60;200
25.04.1992;07:00:00;58;200
26.04.1992;07:00:00;53;200
27.04.1992;07:00:00;45;200
28.04.1992;07:00:00;40;200
29.04.1992;07:00:00;38;200
30.04.1992;07:00:00;36;200
01.05.1992;07:00:00;35;200
02.05.1992;07:00:00;30;200
03.05.1992;07:00:00;24;200
04.05.1992;07:00:00;20;200
05.05.1992;07:00:00;16;200
06.05.1992;07:00:00;10;200
07.05.1992;07:00:00;0;200
08.05.1992;07:00:00;0;200
09.05.1992;07:00:00;---;255
10.05.1992;07:00:00;---;255
11.05.1992;07:00:00;---;255
12.05.1992;07:00:00;---;255
13.05.1992;07:00:00;---;255
14.05.1992;07:00:00;---;255
15.05.1992;07:00:00;---;255
16.05.1992;07:00:00;---;255
17.05.1992;07:00:00;---;255
18.05.1992;07:00:00;---;255
19.05.1992;07:00:00;---;255
20.05.1992;07:00:00;---;255
21.05.1992;07:00:00;---;255
22.05.1992;07:00:00;---;255
23.05.1992;07:00:00;---;255
24.05.1992;07:00:00;---;255
25.05.1992;07:00:00;---;255
26.05.1992;07:00:00;---;255
27.05.1992;07:00:00;---;255
28.05.1992;07:00:00;---;255
29.05.1992;07:00:00;---;255
30.05.1992;07:00:00;---;255
31.05.1992;07:00:00;---;255
01.06.1992;07:00:00;---;255
02.06.1992;07:00:00;---;255
03.06.1992;07:00:00;---;255
04.06.1992;07:00:00;---;255
05.06.1992;07:00:00;---;255
06.06.1992;07:00:00;---;255
07.06.1992;07:00:00;---;255
08.06.1992;07:00:00;---;255
09.06.1992;07:00:00;---;255
10.06.1992;07:00:00;---;255
11.06.1992;07:00:00;---;255
12.06.1992;07:00:00;---;255
13.06.1992;07:00:00;---;255
14.06.1992;07:00:00;---;255
15.06.1992;07:00:00;---;255
16.06.1992;07:00:00;---;255
17.06.1992;07:00:00;---;255
18.06.1992;07:00:00;---;255
19.06.1992;07:00:00;---;255
20.06.1992;07:00:00;---;255
21.06.1992;07:00:00;---;255
