Stationsmessort:	Nordkette
Stationsname:	Beobachter Nordkette (seit 1973)
Stationsnummer:	4307020551
Lokale Koordinaten X:	---
Lokale Koordinaten Y:	---
MPH:	1905
Parametername:	HS
Parametertyp:	SH
Name des Parametertyps:	Schneehöhe
Name der Zeitreihe:	2043/4307020551/HS/Cmd
Einheit der Zeitreihe:	cm
Regionale Koordinaten X:	229195,270194
Regionale Koordinaten Y:	241403,961728
Geografische Länge:	11,3803
Geografische Breite:	47,3067
Datum;Uhrzeit;Wert[cm];Status des Werts
01.01.1992;07:00:00;220;200
02.01.1992;07:00:00;215;200
03.01.1992;07:00:00;210;200
04.01.1992;07:00:00;210;200
05.01.1992;07:00:00;200;200
06.01.1992;07:00:00;200;200
07.01.1992;07:00:00;195;200
08.01.1992;07:00:00;195;200
09.01.1992;07:00:00;190;200
10.01.1992;07:00:00;190;200
11.01.1992;07:00:00;190;200
12.01.1992;07:00:00;190;200
13.01.1992;07:00:00;190;200
14.01.1992;07:00:00;185;200
15.01.1992;07:00:00;185;200
16.01.1992;07:00:00;185;200
17.01.1992;07:00:00;180;200
18.01.1992;07:00:00;180;200
19.01.1992;07:00:00;180;200
20.01.1992;07:00:00;185;200
21.01.1992;07:00:00;185;200
22.01.1992;07:00:00;185;200
23.01.1992;07:00:00;185;200
24.01.1992;07:00:00;180;200
25.01.1992;07:00:00;180;200
26.01.1992;07:00:00;180;200
27.01.1992;07:00:00;180;200
28.01.1992;07:00:00;175;200
29.01.1992;07:00:00;175;200
30.01.1992;07:00:00;175;200
31.01.1992;07:00:00;170;200
01.02.1992;07:00:00;170;200
02.02.1992;07:00:00;170;200
03.02.1992;07:00:00;170;200
04.02.1992;07:00:00;205;200
05.02.1992;07:00:00;260;200
06.02.1992;07:00:00;295;200
07.02.1992;07:00:00;285;200
08.02.1992;07:00:00;280;200
09.02.1992;07:00:00;265;200
10.02.1992;07:00:00;260;200
11.02.1992;07:00:00;255;200
12.02.1992;07:00:00;265;200
13.02.1992;07:00:00;255;200
14.02.1992;07:00:00;260;200
